"weight" "lengthc" "lengthf" "lengthp" "Fat02" "Fat03" "Fat11" "Meat11" "Fat12" "Meat12" "Fat13" "Meat13" "Fat14" "Fat16" "LeanMeat" "slhouse" "sex"
"114" 72.5 175 135 50 11 18 16 50 16 45 13 51 15 15 57.348695169 "b" "a"
"115" 78.6 174 136 50 10 14 13 54 11 51 10 54 10 13 64.406470128 "a" "a"
"116" 81.9 172 134 49 16 19 19 55 14 60 12 63 17 17 56.057428215 "b" "a"
"117" 66.8 171 133 51 8 9 12 43 11 44 9 49 10 8 64.702653248 "a" "a"
"118" 68.7 166 130 50 13 16 16 44 15 45 13 44 15 15 59.143449911 "a" "b"
"119" 64.3 156 124 47 10 13 17 54 12 51 10 56 11 13 63.970215463 "a" "a"
"120" 71.1 176 136 51 12 16 17 47 11 46 10 48 12 12 60.51340559 "a" "b"
"121" 98.8 187 150 57 17 21 17 53 17 49 14 54 14 18 59.15 "c" "b"
"122" 66.2 162 125 48 11 14 18 50 14 45 12 52 13 14 56.770642202 "b" "a"
"123" 69.7 165 131 49 13 20 24 46 20 41 19 43 20 25 50.847559149 "b" "a"
"124" 83.6 183 144 53 10 14 17 65 11 64 12 66 13 17 60.832109643 "b" "a"
"125" 70.4 168 133 52 10 12 13 52 12 52 10 57 17 17 62.404513889 "a" "a"
"126" 81.9 176 139 51 15 18 16 56 14 58 14 57 18 17 60.367519245 "a" "b"
"127" 79.7 166 130 49 14 21 24 58 21 66 16 65 19 21 56.671875 "b" "b"
"128" 72.8 166 133 49 11 14 19 50 15 48 14 52 17 16 59.210452374 "a" "a"
"129" 69.3 174 133 50 12 18 16 41 15 36 14 43 17 15 54.918367347 "a" "b"
"130" 84.4 174 135 50 18 25 22 53 18 58 16 54 21 20 53.457943925 "a" "b"
"131" 88 181 141 54 11 18 19 60 17 60 16 65 15 16 60.57 "c" "b"
"132" 78.4 178 136 52 12 16 11 58 9 56 9 59 12 12 64.338983051 "a" "a"
"133" 66.5 165 129 48 12 15 19 41 17 37 14 42 20 18 54.655487805 "a" "b"
"134" 71.1 174 132 52 14 19 17 41 16 40 14 50 21 20 51.970302684 "a" "b"
"135" 66.7 160 128 47 13 14 20 42 19 48 16 48 15 17 54.199514857 "a" "b"
"136" 70.9 166 131 49 14 15 17 57 15 61 15 61 13 15 61.229178633 "b" "a"
"137" 66.9 169 129 50 12 14 17 41 14 39 12 40 17 18 53.930653575 "a" "a"
"138" 77.2 177 137 53 10 17 12 51 9 52 10 54 10 10 63.355297839 "a" "a"
"139" 91.1 180 141 52 14 20 22 53 20 51 19 55 19 20 55.9 "c" "b"
"140" 67.9 166 128 48 9 13 10 46 9 46 9 50 10 11 63.803444181 "a" "a"
"141" 75.8 168 128 52 13 16 15 61 14 63 14 63 13 11 61.683673469 "a" "a"
"142" 72.8 169 132 50 12 15 20 48 16 56 14 53 14 13 57.105849582 "a" "b"
"143" 77.8 172 133 52 10 15 12 52 10 52 12 56 13 12 63.925478877 "a" "a"
"144" 83 172 134 50 14 18 15 53 13 54 13 58 15 16 60.59 "c" "a"
"145" 68.4 163 122 45 8 10 13 47 11 44 10 51 14 12 62.066508314 "a" "a"
"146" 77.6 167 132 49 12 18 18 51 13 56 12 56 17 17 57.391076115 "b" "b"
"147" 69.5 171 132 50 13 16 19 44 17 48 14 46 15 14 55.220566754 "a" "b"
"148" 70.1 155 125 47 17 22 21 59 16 62 18 62 19 17 57.126337092 "a" "a"
"149" 76.5 170 133 50 12 16 19 51 14 50 14 56 16 14 58.619951859 "b" "a"
"150" 75.9 176 140 51 10 14 13 49 12 49 12 55 11 16 59.343995663 "a" "b"
"151" 77.8 169 136 52 12 17 14 54 13 54 10 62 13 12 61.790765946 "a" "b"
"152" 77.1 166 131 48 12 18 19 48 16 49 17 51 21 19 55.852620378 "b" "a"
"153" 82.5 175 139 52 11 13 17 47 17 47 14 55 17 16 59.195855945 "a" "b"
"154" 77.7 169 131 49 16 21 19 44 18 45 16 50 17 18 55.230323769 "a" "b"
"155" 72.1 170 132 49 12 13 15 42 12 41 10 46 14 16 58.6433013 "a" "a"
"156" 98.9 187 146 55 14 18 18 58 13 61 14 58 12 16 59.12 "c" "b"
"157" 80 174 139 50 13 19 15 60 12 57 15 62 16 18 58.301207916 "a" "a"
"158" 70.7 174 132 51 11 14 17 42 15 36 13 46 18 17 56.935669156 "b" "b"
"159" 80.3 166 130 49 17 20 23 55 19 65 18 64 20 20 53.192297948 "a" "b"
"160" 68.9 164 129 48 11 16 15 45 13 48 13 51 19 19 58.131932283 "a" "a"
"161" 76.6 181 138 53 10 13 12 52 9 49 8 52 9 9 62.043096568 "a" "b"
"162" 95.1 171 135 49 16 22 23 47 25 38 21 47 21 22 49.07 "c" "b"
"163" 93.8 176 136 52 16 22 17 62 16 59 15 63 16 19 59.31 "c" "a"
"164" 71.5 168 132 51 8 11 12 55 11 59 10 58 9 7 67.023707512 "a" "b"
"165" 82.5 173 136 51 15 18 15 56 14 52 13 56 11 11 60.116164113 "a" "b"
"166" 94.6 178 141 52 14 17 19 61 15 63 15 66 14 12 60.5 "c" "b"
"167" 73.1 167 130 50 14 19 20 50 17 51 15 54 18 16 54.966442953 "b" "b"
"168" 69.2 171 134 51 9 13 15 49 11 49 8 53 10 9 62.301169591 "a" "b"
"169" 91.6 184 139 54 16 18 20 60 16 59 17 65 17 17 57.88 "c" "a"
"170" 77.2 169 132 51 13 15 19 52 18 45 15 50 16 19 57.888741722 "a" "a"
"171" 77 172 133 50 10 17 12 53 10 56 12 61 10 12 63.201170836 "a" "a"
"172" 81.4 171 136 50 10 15 22 51 18 51 14 55 18 20 58.64 "c" "b"
"173" 70.5 169 136 51 10 13 16 51 16 46 13 47 14 15 56.791428571 "a" "b"
"174" 80.1 170 131 50 16 18 16 53 16 55 15 60 18 19 56.712951275 "a" "a"
"175" 97.2 182 143 52 16 18 17 55 13 55 12 59 13 15 63.09 "c" "a"
"176" 71.9 169 131 48 8 15 13 52 10 58 10 57 10 11 67.153055397 "a" "a"
"177" 84.6 179 140 54 13 24 17 63 13 67 17 67 16 16 58.93 "c" "a"
"178" 68.8 173 134 51 10 12 12 46 10 52 8 51 8 8 66.15248227 "a" "a"
"179" 81.7 170 134 48 8 12 13 58 13 52 12 62 15 14 63.786240786 "b" "a"
"180" 73.5 165 128 48 9 16 16 50 12 57 8 59 11 10 65.413783559 "a" "a"
"181" 71.4 170 134 50 15 15 18 42 17 44 16 44 16 15 54.59021141 "a" "b"
"182" 81.2 171 137 52 11 18 20 55 18 54 14 55 17 20 55.580876889 "a" "a"
"183" 74.2 168 132 49 10 16 14 52 11 55 10 58 11 11 64.093519278 "a" "a"
"184" 76.4 172 134 51 11 16 15 59 13 62 13 63 14 14 59.766144034 "a" "a"
"185" 77.8 173 135 50 11 16 13 56 14 58 12 63 15 13 62.213561964 "b" "a"
"186" 65.5 168 131 51 10 14 11 44 10 48 10 48 10 11 62.571606476 "a" "a"
"187" 78.5 173 138 52 10 14 12 57 10 55 8 57 13 12 64.76534296 "a" "b"
"188" 86.2 173 137 50 13 17 15 62 13 68 15 66 14 14 63.49 "c" "a"
"189" 71.8 166 132 49 8 14 18 54 13 54 16 56 14 11 61.086100169 "a" "a"
"190" 70.8 169 134 51 11 14 19 56 12 62 12 63 17 16 59.352704258 "a" "a"
"191" 71.9 167 129 50 18 21 24 46 19 54 19 53 21 24 48.938153064 "a" "b"
"192" 74.6 164 130 48 16 21 22 55 20 48 18 54 20 19 55.69895432 "a" "b"
"193" 74.3 166 132 51 10 16 21 51 15 54 16 56 14 16 56.216216216 "a" "a"
"194" 70.3 172 134 51 10 13 11 51 10 52 9 56 11 10 65.525404157 "b" "a"
"195" 77.8 169 131 50 11 13 16 50 13 48 12 54 14 12 60.592361652 "b" "b"
"196" 69.6 163 129 49 9 13 15 52 14 53 10 59 12 10 64.370044053 "b" "b"
"197" 68 173 136 51 8 12 14 44 8 41 8 46 7 6 64.123989218 "a" "b"
"198" 90.7 179 141 52 11 16 17 67 15 62 16 65 19 18 58.61 "c" "a"
"199" 86.9 178 142 53 17 21 18 59 15 59 14 65 18 22 59.91 "c" "b"
"200" 78.5 173 134 52 12 15 14 59 11 57 14 60 14 12 62.166623678 "a" "a"
"201" 69.3 166 131 50 12 18 15 45 16 43 11 55 13 13 60.870588235 "b" "b"
"202" 97.4 183 143 53 14 19 18 56 14 56 14 56 14 15 58.26 "c" "b"
"203" 87.9 179 140 52 16 22 17 49 16 48 14 52 18 19 53.575574646 "b" "b"
"204" 70.3 166 129 48 15 18 13 48 10 47 12 49 16 15 57.196991611 "a" "a"
"205" 75.2 169 131 49 12 21 22 56 20 53 18 55 17 20 53.293249522 "a" "b"
"206" 70.9 163 131 50 12 18 16 54 13 56 12 55 11 10 60.331902718 "a" "b"
"207" 84.5 174 134 52 19 24 20 49 17 53 16 55 18 21 53.764848485 "a" "a"
"208" 71.8 164 130 49 10 14 14 56 13 50 10 52 12 10 62.508455468 "b" "b"
"209" 70.7 162 125 48 13 17 19 54 16 52 14 60 16 17 58.743216224 "b" "a"
"210" 69.6 171 135 51 13 14 18 44 17 41 17 47 19 18 51.469387755 "a" "b"
"211" 81.6 165 131 47 12 17 21 58 19 60 19 64 19 19 59.46 "c" "b"
"212" 85.5 172 131 51 15 17 18 61 16 58 16 58 17 18 57.72 "c" "b"
"213" 74.5 169 132 51 13 15 16 50 12 49 11 52 15 13 60.418978912 "a" "a"
"214" 83.4 178 140 51 9 17 16 52 13 46 11 55 15 16 59.016273986 "a" "a"
"215" 86.5 170 135 50 13 19 22 61 18 65 18 71 21 23 56.08 "c" "b"
"216" 70.5 166 132 49 11 11 13 48 11 50 11 52 13 11 61.892205158 "a" "a"
"217" 79.5 175 134 49 12 13 13 48 10 48 10 52 11 14 62.268907563 "a" "b"
"218" 78.3 172 131 51 13 18 19 51 16 53 15 56 15 15 57.472979928 "a" "b"
"219" 88.9 177 140 53 16 21 18 51 18 48 16 53 17 17 56.92 "c" "a"
"220" 67.4 169 133 52 9 18 15 53 16 55 16 61 20 16 58.384869409 "b" "a"
"221" 74.2 164 132 49 16 20 27 52 22 59 19 55 22 23 50.642857143 "a" "b"
"222" 71.2 174 136 51 10 17 15 45 12 46 12 51 13 13 62.664004564 "a" "a"
"223" 74.8 170 134 51 13 17 23 39 16 43 15 50 19 24 57.082653616 "a" "a"
"224" 88 173 135 52 14 17 18 56 16 57 15 59 17 18 58.46 "c" "b"
"225" 76.7 167 130 49 15 16 16 50 13 50 12 55 15 14 60.826645265 "a" "b"
"226" 69.7 165 128 49 15 19 23 39 17 38 16 41 20 20 49.105217138 "a" "a"
"227" 70.7 169 133 49 14 19 21 45 16 48 15 48 20 19 51.739255014 "a" "b"
"228" 76 173 133 52 15 21 22 50 17 49 18 53 18 18 54.847520552 "a" "b"
"229" 71.4 179 138 52 11 16 14 46 12 49 10 52 15 12 57.443587546 "b" "a"
"230" 96.7 185 142 55 11 16 15 63 12 58 12 62 12 12 62.69 "c" "a"
"231" 78.2 173 134 52 12 15 15 55 12 52 12 57 12 13 60.865663764 "a" "a"
"232" 75.8 170 136 51 12 15 18 45 15 47 13 51 14 18 56.754246285 "a" "b"
"233" 61 160 125 48 8 14 15 49 11 44 10 47 11 10 60.429184549 "a" "b"
"234" 79 164 131 49 16 19 24 52 22 53 20 58 21 22 55.878080415 "b" "b"
"235" 78 172 135 50 14 19 16 49 13 52 13 57 18 18 59.319071224 "b" "a"
"236" 81.2 169 136 50 14 17 17 59 16 56 13 61 14 17 59.458375125 "b" "b"
"237" 78.6 178 136 52 12 20 20 54 17 58 13 60 16 19 53.3023496 "b" "b"
"238" 73 169 130 49 13 15 18 50 15 48 15 48 16 17 55.170030412 "a" "a"
"239" 68.4 164 131 49 10 15 19 46 17 45 16 47 17 16 55.091933571 "a" "b"
"240" 91.5 181 145 53 15 17 19 51 14 48 15 53 13 14 61.53 "c" "a"
"241" 78.4 171 136 49 12 15 16 64 15 70 12 74 15 15 59.341176471 "b" "b"
"242" 85.6 171 134 50 16 18 22 61 17 62 16 66 22 26 51.570247934 "a" "b"
"243" 66.9 166 131 50 10 14 12 44 11 44 11 45 9 9 63.601938806 "a" "a"
"244" 66 165 131 49 11 12 17 47 12 39 11 48 10 12 60.65855181 "b" "b"
"245" 95.1 175 140 50 13 18 17 61 13 60 15 61 14 12 60.73 "c" "b"
"246" 74.1 177 142 52 9 15 16 49 13 51 13 50 12 12 57.22007722 "a" "b"
"247" 72.4 166 131 49 10 13 13 51 11 56 9 57 11 9 63.627147282 "b" "a"
"248" 71 169 131 52 12 13 12 53 10 56 9 60 10 10 65.300404391 "a" "a"
"249" 75 167 132 50 15 16 21 56 14 58 15 60 18 18 56.259768257 "a" "a"
"250" 77.3 169 132 50 15 17 22 54 18 52 16 57 16 19 52.269465852 "a" "b"
"251" 77.1 174 137 50 10 14 18 60 15 63 16 62 15 15 61.386995281 "a" "b"
"252" 68 164 130 49 11 16 14 53 10 52 11 55 8 9 59.598065881 "a" "a"
"253" 68.3 174 132 51 10 14 13 49 8 55 8 55 7 8 64.274383079 "a" "a"
"254" 100 187 144 54 15 21 23 60 19 61 15 64 21 23 55.73 "c" "b"
"255" 74.2 172 135 51 11 13 18 50 13 49 14 52 12 11 58.263604047 "a" "b"
"256" 75.3 167 132 51 12 17 22 60 18 64 14 64 20 17 57.646112601 "b" "b"
"257" 68 165 133 48 10 12 15 55 12 54 10 58 10 12 64.766327142 "a" "b"
"258" 76.5 166 131 49 13 21 17 54 14 52 13 58 13 14 60.852528462 "a" "a"
"259" 72.3 177 142 53 9 12 12 46 11 43 9 48 11 8 62.239099859 "a" "a"
"260" 71.2 166 131 50 13 13 14 54 12 53 15 58 13 14 60.812428734 "b" "a"
"261" 98.3 179 142 54 19 25 20 60 18 62 19 65 16 19 57.43 "c" "b"
"262" 68.7 169 128 50 14 18 17 42 14 37 13 44 14 16 57.93817527 "b" "b"
"263" 70.5 173 137 51 11 17 14 50 13 53 11 55 15 13 60.895133256 "b" "a"
"264" 76.9 170 136 50 13 17 18 59 16 54 14 59 17 18 57.849829352 "b" "a"
"265" 81.2 170 135 50 12 13 17 50 14 52 14 55 12 16 58.601205424 "b" "a"
"266" 69.7 169 130 51 12 18 15 57 14 58 14 57 13 13 61.892050455 "b" "a"
"267" 75.7 170 133 50 14 20 16 54 16 57 14 62 18 19 61.184706516 "b" "a"
"268" 78.4 164 128 47 17 19 19 46 16 42 17 49 16 17 57.42002064 "b" "b"
"269" 82.8 174 137 51 12 15 15 66 15 63 13 66 15 15 61.43 "c" "a"
"270" 97.7 179 137 52 15 19 16 59 13 61 13 63 13 14 61.17 "c" "a"
"271" 97.5 186 147 56 13 21 18 51 18 50 17 53 16 16 57.29 "c" "b"
"272" 66.9 173 129 52 14 18 20 37 16 37 13 42 18 19 51.763277693 "b" "a"
"273" 93.6 182 141 55 15 22 20 58 16 61 16 59 19 21 58.13 "c" "b"
"274" 70.9 166 130 49 9 15 16 46 12 45 14 51 14 16 60.328009127 "b" "a"
"275" 75 166 132 49 12 15 14 54 12 56 11 62 16 11 59.395336226 "a" "b"
"276" 71.7 170 133 50 10 12 16 50 11 53 9 58 13 13 58.193325662 "b" "b"
"277" 85.4 186 143 54 13 17 16 56 15 54 11 63 16 15 57.647058824 "b" "a"
"278" 77.3 170 133 51 13 18 18 54 13 59 13 60 17 17 61.05496223 "b" "a"
"279" 70.4 171 135 51 9 11 12 61 9 60 9 68 11 11 65.709770115 "b" "a"
"280" 76.5 173 135 51 12 17 18 52 16 53 12 61 11 12 60.950369588 "b" "b"
"281" 72 177 138 51 9 14 13 52 12 58 11 65 12 12 60.125463359 "b" "a"
"282" 73.9 166 133 49 11 16 13 49 13 50 11 55 12 12 61.852257182 "b" "b"
"283" 85.4 174 138 52 13 22 17 61 17 59 15 57 17 19 56.951126868 "b" "b"
"284" 77.8 174 136 50 10 16 13 57 10 53 10 54 9 10 63.108781127 "b" "b"
"285" 63 165 130 49 9 11 13 40 12 33 12 42 14 12 57.104755784 "b" "b"
"286" 78.3 173 137 51 10 12 13 57 13 54 12 59 11 13 63.359354671 "b" "a"
"287" 76 167 131 50 11 15 14 52 12 51 12 60 14 15 60.792880259 "b" "a"
"288" 70.3 164 129 48 11 16 15 55 12 61 12 62 14 13 64.3866171 "b" "b"
"289" 80.4 169 133 50 14 16 20 52 17 51 15 55 15 18 57.366431452 "b" "b"
"290" 66.7 160 124 46 12 18 16 54 11 60 10 59 16 15 61.312480834 "b" "a"
"291" 74.3 167 135 50 9 15 16 49 11 50 13 51 13 13 57.873042045 "b" "b"
"292" 80.3 172 135 52 9 13 13 55 14 57 11 59 11 11 63.250380904 "b" "b"
"293" 70.7 164 130 49 8 13 11 52 10 57 10 64 11 11 64.491451753 "b" "a"
"294" 80.3 171 135 51 12 16 16 52 15 48 13 52 13 14 60.611883692 "b" "b"
"295" 64.1 157 124 47 13 17 20 49 15 48 13 48 16 17 56.608942065 "b" "b"
"296" 73.7 170 132 48 16 21 18 54 16 58 14 58 16 15 58.295331162 "b" "a"
