"cow" "lactno" "dfc" "milk"
2 3 42 33.49
2 3 43 16.48
2 3 44 30.56
2 3 45 34.28
2 3 46 31.57
2 3 47 17.61
2 3 48 15.88
2 3 49 32.88
2 3 50 33.07
2 3 51 34.23
2 3 52 19.4
2 3 53 31.66
2 3 54 33.3
2 3 55 33.04
2 3 56 31.6
2 3 57 31.86
2 3 58 27.04
2 3 59 33.09
2 3 60 35.75
2 3 61 35.01
2 3 62 30.68
2 3 63 27.89
2 3 64 29.47
2 3 65 31.62
2 3 66 29.15
2 3 67 31.64
2 3 68 25.6
2 3 69 35.56
2 3 70 32.2
2 3 71 30.35
2 3 72 30.86
2 3 73 27.36
2 3 74 30.22
2 3 75 33.89
2 3 76 31.02
2 3 77 27.71
2 3 78 32.68
2 3 79 28.95
2 3 80 28.17
2 3 81 27.58
2 3 82 31.38
2 3 83 24.27
2 3 84 28.86
2 3 85 29.74
2 3 86 24.67
2 3 87 35.26
2 3 88 26.85
2 3 89 31.65
2 3 90 28.08
2 3 91 12.24
2 3 92 27.72
2 3 93 28.46
2 3 94 16.98
2 3 95 13.4
2 3 96 26.91
2 3 97 30.24
2 3 98 29.34
2 3 99 28.64
2 3 100 27.75
2 3 101 28.86
2 3 102 29.59
2 3 103 28.04
2 3 104 27.34
2 3 105 29.15
2 3 106 27.22
2 3 107 27.68
2 3 108 26.91
2 3 109 25.91
2 3 110 28
2 3 111 26.06
2 3 112 21.83
2 3 113 25.08
2 3 114 27.66
2 3 115 25.05
2 3 116 27.21
2 3 117 27.78
2 3 118 26.53
2 3 119 25.66
2 3 120 24.71
2 3 121 28.13
2 3 122 14.49
2 3 123 27.71
2 3 124 27.06
2 3 125 23.64
2 3 126 24.69
2 3 127 23.65
2 3 128 23.69
2 3 129 24.67
2 3 130 25.2
2 3 131 25.44
2 3 132 23.01
2 3 133 21.41
2 3 134 19.83
2 3 135 23.2
2 3 136 25.14
2 3 137 24.52
2 3 138 25.88
2 3 139 27.22
2 3 140 25.79
2 3 141 26.12
2 3 142 27.31
2 3 143 10.57
2 3 144 25.62
2 3 145 25.05
2 3 146 24.85
2 3 147 13.62
2 3 148 23.95
2 3 149 21.96
2 3 150 22.94
2 3 151 19.23
2 3 152 18.8
2 3 153 19.51
2 3 154 17.19
2 3 155 21.11
2 3 156 19.39
2 3 157 17.33
2 3 158 17.91
2 3 159 14.83
2 3 160 15.15
2 3 161 15.47
2 3 162 6.38
2 2 317 20.95
2 2 318 9.9
2 2 320 24.09
2 2 321 21.84
2 2 322 25
2 2 323 22.19
2 2 324 24.73
2 2 325 23.08
2 2 326 22.02
2 2 327 25.34
2 2 328 23.94
2 2 329 24.13
2 2 330 24.05
2 2 331 25.98
2 2 332 25.85
2 2 333 24.13
2 2 334 23.11
2 2 335 21.67
2 2 336 21.98
2 2 337 23.35
2 2 339 13.16
2 2 340 21.76
2 2 341 24.32
2 2 342 23.12
2 2 343 22.58
2 2 344 23.24
2 2 345 23.19
2 2 346 21.87
2 2 347 20.6
2 2 348 24.31
2 2 349 21.72
2 2 350 22.39
2 2 351 23.51
2 2 352 22.14
2 2 353 21.24
2 2 354 21.65
2 2 355 23.51
2 2 356 25.09
2 2 357 23.05
2 2 358 22.41
2 2 359 21.51
2 2 360 21.46
2 2 361 23.08
2 2 362 20.77
2 2 363 20.2
2 2 364 20.45
2 2 365 21.57
2 2 366 22.62
2 2 367 20.89
2 2 368 21.96
2 2 369 19.57
2 2 370 18.84
2 2 371 20.02
2 2 372 18.9
2 2 373 10.43
2 2 374 20
2 2 375 11.61
2 2 378 9.23
3 3 1 9.85
3 3 2 27.9
3 3 3 35.81
3 3 4 32.09
3 3 5 34.02
3 3 6 37.54
3 3 7 34.91
3 3 8 36.08
3 3 9 35.31
3 3 10 36.71
3 3 11 40.29
3 3 12 35.97
3 3 13 38
3 3 14 40.05
3 3 15 37.27
3 3 16 39.3
3 3 17 44.65
3 3 18 38.33
3 3 19 39.99
3 3 20 45.08
3 3 21 52.94
3 3 22 43.19
3 3 23 42.81
3 3 24 41.87
3 3 25 47.01
3 3 27 42.81
3 3 28 41.39
3 3 29 44.53
3 3 30 43.57
3 3 31 48.01
3 3 32 43.34
3 3 33 46.12
3 3 34 45.35
3 3 35 42.53
3 3 36 42.03
3 3 37 43.4
3 3 38 49.66
3 3 39 40.28
3 3 40 39.2
3 3 41 39.59
3 3 42 40.21
3 3 43 40.04
3 3 44 42.02
3 3 45 49.67
3 3 46 41.46
3 3 47 43.42
3 3 48 44.41
3 3 49 43.63
3 3 50 42.17
3 3 51 38.69
3 3 52 46.27
3 3 53 32.82
3 3 54 39.46
3 3 55 36.96
3 3 56 39.9
3 3 57 29.38
3 3 58 33.24
3 3 59 33.27
3 3 60 32.62
3 3 61 37.03
3 3 62 34.98
3 3 63 35.51
3 3 64 38.01
3 3 65 37.24
3 3 66 38.9
3 3 67 38.6
3 3 68 40.09
3 3 69 36.05
3 3 70 37.2
3 3 71 37.11
3 3 72 36.2
3 3 73 38.63
3 3 74 35.74
3 3 75 36.93
3 3 76 43.07
3 3 77 34.6
3 3 78 39.64
3 3 79 38.68
3 3 80 40.95
3 3 81 37.39
3 3 82 37.02
3 3 83 38.52
3 3 84 35.26
3 3 85 38.33
3 3 86 37.67
3 3 87 41.95
3 3 88 38.32
3 3 89 36.3
3 3 90 34.95
3 3 91 35.43
3 3 92 37.01
3 3 93 34.96
3 3 94 37.81
3 3 95 35.78
3 3 96 36.7
3 3 97 34.93
3 3 98 39.29
3 3 99 37.57
3 3 100 34.36
3 3 101 37.04
3 3 102 34.79
3 3 103 37.88
3 3 104 33.66
3 3 105 39.83
3 3 106 36.36
3 3 107 36.48
3 3 108 36.76
3 3 109 35.78
3 3 110 32.69
3 3 111 39.97
3 3 112 36.32
3 3 113 36.49
3 3 114 38.03
3 3 115 38.54
3 3 116 36.96
3 3 117 37.28
3 3 118 36.97
3 3 119 35.32
3 3 120 40.89
3 3 121 32.26
3 3 122 35.83
3 3 123 32.26
3 3 124 37.62
3 3 125 34.7
3 3 126 37.18
3 3 127 34.64
3 3 128 37.48
3 3 129 35.89
3 3 130 38.23
3 3 131 37.88
3 3 132 34.95
3 3 133 36.11
3 3 134 35.57
3 3 135 35.64
3 3 136 33.75
3 3 137 35.32
3 3 138 35.57
3 3 139 36.92
3 3 140 38.58
3 3 141 36.56
3 3 142 37.46
3 3 143 36.19
3 3 144 37.04
3 3 145 34.47
3 3 146 33.86
3 3 147 34.18
3 3 148 33.46
3 3 149 34.65
3 3 150 35.52
3 3 151 35.4
3 3 152 35.74
3 3 153 35.49
3 3 154 35.49
3 3 155 22.07
3 3 156 35.82
3 3 157 38.43
3 3 158 36.17
3 3 159 36.6
3 3 160 31.84
3 3 161 39.18
3 3 162 30.06
3 3 163 30.6
3 3 164 36.34
3 3 165 35.31
3 3 166 35.19
3 3 167 37.53
3 3 168 35.37
3 3 169 35.81
3 3 170 31.11
3 3 171 30.71
3 3 172 29.79
3 3 173 31.8
3 3 174 35.36
3 3 175 35.01
3 3 176 35.44
3 3 177 33.59
3 3 178 32.62
3 3 179 36.69
3 3 180 33.33
3 2 181 29.12
3 3 181 31.54
3 2 182 28.79
3 3 182 30.59
3 3 183 35.36
3 2 184 29.61
3 3 184 33.94
3 2 185 28.57
3 3 185 34.05
3 2 186 28.36
3 3 186 33.77
3 2 187 27.35
3 3 187 32.11
3 2 188 29.97
3 3 188 33.33
3 2 189 28.9
3 3 189 34.63
3 2 190 28.95
3 3 190 30.74
3 2 191 29.4
3 3 191 33.7
3 2 192 28.15
3 3 192 32.58
3 2 193 29.65
3 3 193 33.05
3 2 194 30.14
3 3 194 34.17
3 2 195 30.13
3 3 195 32.23
3 2 196 26.6
3 3 196 31.08
3 2 197 29.4
3 3 197 18.18
3 2 198 27.22
3 3 198 30.45
3 2 199 27.83
3 3 199 31.87
3 2 200 28.74
3 3 200 31.11
3 2 201 28.71
3 3 201 32.65
3 3 202 35.83
3 2 203 12.5
3 3 203 32.48
3 2 204 28.65
3 3 204 32.76
3 2 205 28.04
3 3 205 32
3 2 206 28.5
3 3 206 31.33
3 2 207 28.47
3 3 207 30.05
3 2 208 27.17
3 3 208 29.65
3 2 209 28.42
3 3 209 30.97
3 2 210 15.24
3 3 210 30.45
3 2 211 27.13
3 3 211 32.71
3 2 212 25.95
3 3 212 32.68
3 2 213 27.11
3 3 213 29.59
3 2 214 26.65
3 3 214 32
3 2 215 15.03
3 3 215 19.95
3 2 216 26.19
3 3 216 35.22
3 2 217 26.87
3 3 217 27.31
3 2 218 28.56
3 3 218 26.1
3 2 219 13.38
3 3 219 32.15
3 2 220 29.16
3 3 220 29.94
3 2 221 27.62
3 3 221 27.83
3 2 222 27.52
3 3 222 28.63
3 2 223 27.9
3 3 223 27.16
3 2 224 25.23
3 3 224 28.06
3 2 225 27.43
3 3 225 29.27
3 2 226 26.8
3 3 226 27.83
3 2 227 25.91
3 3 227 28.59
3 2 228 26.65
3 3 228 25.57
3 2 229 26.63
3 3 229 27.81
3 2 230 25.46
3 3 230 27.09
3 2 231 26.03
3 3 231 26.97
3 2 232 26.11
3 3 232 24.36
3 2 233 26.15
3 3 233 27.58
3 2 234 23.84
3 3 234 25.29
3 2 235 25.82
3 3 235 24.06
3 2 236 25.82
3 3 236 26.43
3 2 237 14.35
3 3 237 28.5
3 2 238 24.58
3 3 238 26.74
3 2 239 26.56
3 3 239 25.73
3 2 240 25.09
3 3 240 27.39
3 2 241 24.35
3 3 241 29.99
3 2 242 25.12
3 3 242 26.5
3 2 243 25.37
3 3 243 27.15
3 2 244 23.38
3 3 244 27.72
3 2 245 23.78
3 3 245 26.91
3 2 246 25.66
3 3 246 26.95
3 2 247 23.56
3 3 247 25.89
3 2 248 24.94
3 3 248 26.09
3 2 249 25.48
3 3 249 25.79
3 2 250 24.65
3 3 250 24.77
3 2 251 22.59
3 3 251 27.32
3 2 252 23.33
3 3 252 26.42
3 2 253 13.49
3 3 253 25.4
3 2 254 10.66
3 3 254 26.47
3 2 255 22.99
3 3 255 15.02
3 2 256 22.13
3 2 257 22.75
3 2 258 20.76
3 2 259 21.26
3 2 260 20.62
3 2 261 20.21
3 2 262 22.29
3 2 263 20.6
3 2 264 21.11
3 2 265 21.41
3 2 266 19.7
3 2 267 22.03
3 2 268 20.92
3 2 269 21.23
3 2 270 19.23
3 2 271 21.02
3 2 272 21.52
3 2 273 20.52
3 2 274 19.09
3 2 275 20.09
3 2 276 17.34
3 2 277 17.02
3 2 278 18
3 2 279 18.28
3 2 280 11.11
3 2 281 17.66
3 2 282 17.1
3 2 283 18.02
3 2 284 17.74
3 2 285 18.29
3 2 286 18.4
3 2 287 18.54
3 2 288 18.61
3 2 289 17.27
3 2 290 16.77
3 2 291 17.74
3 2 292 17.54
3 2 293 17.14
3 2 294 16.89
3 2 295 16.03
3 2 296 16.79
3 2 297 16.44
3 2 298 16.11
3 2 299 15.56
3 2 300 15.78
3 2 301 15.26
3 2 302 16.39
3 2 303 15.55
3 2 304 16.24
3 2 305 14.49
3 2 306 15.6
3 2 307 15.1
3 2 308 14.06
3 2 309 14.8
3 2 310 11.5
3 2 312 5.85
4 2 1 13.35
4 3 2 25.8
4 2 3 17.06
4 3 3 31.7
4 2 4 32.25
4 3 4 32.09
4 2 5 18.93
4 3 5 31.97
4 2 6 31.29
4 3 6 36.98
4 2 7 19.66
4 3 7 37.75
4 2 8 34.02
4 3 8 37.46
4 2 9 36.58
4 3 9 36.87
4 2 10 37.33
4 3 10 35.32
4 2 11 37.63
4 3 11 33.44
4 2 12 39.65
4 3 12 39.9
4 2 13 36.76
4 3 13 34.09
4 2 14 38.08
4 3 14 36.47
4 2 15 39.01
4 3 15 36.55
4 2 16 39.36
4 3 16 36.13
4 2 17 39.37
4 3 17 37.03
4 2 18 40.11
4 3 18 38.89
4 2 19 37.55
4 3 19 36.79
4 2 20 36.2
4 3 20 34.97
4 2 21 36.81
4 3 21 37.82
4 2 22 37.46
4 3 22 33.95
4 2 23 19.9
4 3 23 38.08
4 2 24 18.13
4 3 24 38.54
4 2 25 37.83
4 3 25 35.66
4 2 26 37.11
4 3 26 36.22
4 2 27 37.76
4 3 27 39.78
4 2 28 37.37
4 3 28 37.3
4 2 29 38.05
4 3 29 39.38
4 2 30 35.85
4 3 30 38.36
4 2 31 37.76
4 3 31 36.58
4 2 32 36.76
4 3 32 36.51
4 2 33 35.42
4 3 33 37.18
4 2 34 31.1
4 3 34 39.27
4 2 35 39.59
4 3 35 40.25
4 2 36 35.39
4 3 36 38.38
4 2 37 33.6
4 3 37 38.95
4 2 38 37.23
4 3 38 38.75
4 2 39 34.86
4 3 39 36.11
4 2 40 35.9
4 3 40 37.61
4 2 41 35.88
4 3 41 41.96
4 2 42 34.84
4 3 42 36.74
4 2 43 37.31
4 3 43 41.58
4 2 44 35.21
4 3 44 42.37
4 2 45 37.18
4 3 45 18.75
4 2 46 32.84
4 2 47 36.3
4 2 48 35.01
4 2 49 35.99
4 2 50 33.38
4 2 51 35.84
4 2 52 36.41
4 2 53 35.4
4 2 54 34.29
4 2 55 33.92
4 2 56 32.25
4 2 57 33.49
4 2 58 34.77
4 2 59 33.3
4 2 60 34.11
4 2 61 32.94
4 2 62 31.53
4 2 63 33.44
4 2 64 29.67
4 2 65 33.09
4 2 66 33.86
4 2 67 32.27
4 2 68 32.43
4 2 69 31.82
4 2 70 33.58
4 2 71 33.62
4 2 72 32.18
4 2 73 31.77
4 2 74 31.9
4 2 75 31.16
4 2 76 32.43
4 2 77 29.6
4 2 78 29.85
4 2 79 31.29
4 2 80 30
4 2 81 32.34
4 2 82 30.05
4 2 83 28.31
4 2 84 32.02
4 2 85 28.97
4 2 86 29.48
4 2 87 28.55
4 2 88 27.99
4 2 89 31.33
4 2 90 12.74
4 2 91 30.76
4 2 92 28.9
4 2 93 31.19
4 2 94 30.36
4 2 95 30.06
4 2 96 30.1
4 2 97 31.07
4 2 98 28.57
4 2 99 26.25
4 2 100 27.73
4 2 101 28.29
4 2 102 30.43
4 2 103 34.49
4 2 104 33.14
4 2 105 15.59
4 2 106 30.72
4 2 107 29.78
4 2 108 31.21
4 2 109 31.55
4 2 110 29.42
4 2 111 30.87
4 2 112 35.28
4 2 113 32.06
4 2 114 28.27
4 2 115 32.56
4 2 116 31.71
4 2 117 28.94
4 2 118 15.74
4 2 119 15.88
4 2 120 30.32
4 2 121 28.08
4 2 122 34.72
4 2 123 29.01
4 2 124 31.99
4 2 125 29.69
4 2 126 27.49
4 2 127 29.33
4 2 128 30.73
4 2 129 27.99
4 2 130 30.95
4 2 131 30.67
4 2 132 31.14
4 2 133 29.1
4 2 134 30.56
4 2 135 30.29
4 2 136 27.37
4 2 137 32.04
4 2 138 30.52
4 2 139 28.08
4 2 140 28.74
4 2 141 33.55
4 2 142 29.07
4 2 143 28.45
4 2 144 36.54
4 2 145 16.97
4 2 146 32.11
4 2 147 29.23
4 2 148 30.25
4 2 149 29.53
4 2 150 30.32
4 2 151 31.89
4 2 152 29.35
4 2 153 34.02
4 2 154 29.17
4 2 155 35.07
4 2 156 29.5
4 2 157 35.65
4 2 158 28.64
4 2 159 28.8
4 2 160 29.28
4 2 161 28.31
4 2 162 28.7
4 2 163 29.15
4 2 164 27.96
4 2 165 20.54
4 2 166 13.03
4 2 167 26.73
4 2 168 31.71
4 2 169 32.91
4 2 170 29.28
4 2 171 31.37
4 2 172 28.47
4 2 173 27.78
4 2 174 30.51
4 2 175 29.29
4 2 176 29.91
4 2 177 29.34
4 2 178 29.08
4 2 179 27.85
4 2 180 26.8
4 2 181 25.38
4 2 182 26.45
4 2 183 30.48
4 2 184 32.78
4 2 185 27.07
4 2 186 30.8
4 2 187 29.02
4 2 188 29.24
4 2 189 28.03
4 2 190 29.03
4 2 191 26.73
4 2 192 27.7
4 2 193 26.26
4 2 194 30.33
4 2 195 27.79
4 2 196 29.17
4 2 197 28.42
4 2 198 27.56
4 2 199 25.63
4 2 200 26.15
4 2 201 14.59
4 2 202 26.78
4 2 203 28.38
4 2 204 28.16
4 2 205 28.53
4 2 206 26.77
4 2 207 27.67
4 2 208 27.09
4 2 209 27.9
4 2 210 27.33
4 2 211 25.61
4 2 212 28.04
4 2 213 26.83
4 2 214 25.97
4 2 215 25.07
4 2 216 13.88
4 2 217 25.47
4 2 218 28.3
4 2 219 22.34
4 2 220 25.19
4 2 221 26.18
4 2 222 26.23
4 2 223 24.93
4 2 224 24.82
4 2 225 25.25
4 2 226 24.46
4 2 227 25.94
4 2 228 25.05
4 2 229 25.89
4 2 230 23.52
4 2 231 23.59
4 2 232 26.99
4 2 233 24.63
4 2 234 23.06
4 2 235 24.33
4 2 236 23.94
4 2 237 23.7
4 2 238 24.14
4 2 239 23.75
4 2 240 23.96
4 2 241 21.39
4 2 242 24.92
4 2 243 21.95
4 2 244 22.01
4 2 245 19.88
4 2 246 25.21
4 2 247 22.88
4 2 248 22.22
4 2 249 23.09
4 2 250 25.12
4 2 251 26.74
4 2 252 24.09
4 2 253 25.46
4 2 254 22.25
4 2 255 24.33
4 2 256 24.27
4 2 257 22.32
4 2 258 23.67
4 2 259 22.48
4 2 260 25.7
4 2 261 23.37
4 2 262 22.08
4 2 263 22.58
4 2 264 22.93
4 2 265 21.87
4 2 266 23.18
4 2 267 21.47
4 2 268 24.24
4 2 269 21.93
4 2 270 21.23
4 2 271 22.2
4 2 272 18.97
4 2 273 20.38
4 2 274 18.01
4 2 275 18.78
4 2 276 18.6
4 2 277 18.56
4 2 278 19.11
4 2 279 20.7
4 2 280 18.97
4 2 281 20.18
4 2 282 20.89
4 2 283 10.76
4 2 284 11.88
4 2 285 11.06
4 2 288 10.37
4 2 292 8.25
5 2 1 30
5 2 2 12.57
5 2 3 29.08
5 2 4 31.87
5 2 5 33.29
5 2 6 34.41
5 2 7 35.15
5 2 8 35.89
5 2 9 34.38
5 2 10 32.15
5 2 11 29.42
5 2 12 34.3
5 2 13 35.04
5 2 14 32.74
5 2 15 36.91
5 2 16 33.86
5 2 17 34.74
5 2 18 22.25
5 2 19 11.78
5 2 20 32.26
5 2 21 33.53
5 2 22 32.44
5 2 23 33.6
5 2 24 33.04
5 2 25 34.03
5 2 26 33.01
5 2 27 31.97
5 2 28 33.22
5 2 29 34.8
5 2 30 34.62
5 2 31 30.08
5 2 32 34.09
5 2 33 32.24
5 2 34 30.67
5 2 35 31.7
5 2 36 33.14
5 2 37 34.36
5 2 38 32.47
5 2 39 33
5 2 40 38.11
5 2 41 32.85
5 2 42 31.75
5 2 43 34.57
5 2 44 34.04
5 2 45 33
5 2 46 35.39
5 2 47 33.49
5 2 48 32.06
5 2 49 33.52
5 2 50 32.96
5 2 51 32.94
5 2 52 32.19
5 2 53 33.19
5 2 54 30.96
5 2 55 32.17
5 2 56 30.44
5 2 57 31.96
5 2 58 30.54
5 2 59 30.49
5 2 60 31.66
5 2 61 32.59
5 2 62 31.9
5 2 63 32.94
5 2 64 31.76
5 2 65 34.22
5 2 66 31.76
5 2 67 32.32
5 2 68 31.75
5 2 69 30.28
5 2 70 31.94
5 2 71 33.89
5 2 72 32.99
5 2 73 31.07
5 2 74 30.82
5 2 75 33.69
5 2 76 30.37
5 2 77 29.85
5 2 78 30.82
5 2 79 32.18
5 2 80 30.03
5 2 81 32.34
5 2 82 28.89
5 2 83 30.79
5 2 84 31.02
5 2 85 30.55
5 2 86 30.19
5 2 87 28.85
5 2 88 30.12
5 2 89 30.42
5 2 90 29.96
5 2 91 26.3
5 2 92 32.02
5 2 93 29.85
