treat dogid time gbv
Cholechystokynin 5 0 13.33
Cholechystokynin 5 10 7.15
Cholechystokynin 5 20 7.82
Cholechystokynin 5 30 7.94
Cholechystokynin 5 40 8.4
Cholechystokynin 5 50 8.94
Cholechystokynin 5 60 9.28
Cholechystokynin 5 70 9.95
Cholechystokynin 5 80 10.4
Cholechystokynin 5 90 10.95
Cholechystokynin 5 100 11.7
Cholechystokynin 5 110 12.1
Cholechystokynin 5 120 12.35
Cholechystokynin 6 0 16.16
Cholechystokynin 6 10 8.36
Cholechystokynin 6 20 9.53
Cholechystokynin 6 30 9.8
Cholechystokynin 6 40 9.64
Cholechystokynin 6 50 9.84
Cholechystokynin 6 60 10.7
Cholechystokynin 6 70 11.26
Cholechystokynin 6 80 12.12
Cholechystokynin 6 90 12.6
Cholechystokynin 6 100 13.98
Cholechystokynin 6 110 14.52
Cholechystokynin 6 120 14.78
Control 1 0 20.75
Control 1 10 19.83
Control 1 20 19.98
Control 1 30 18.84
Control 1 40 19.1
Control 1 50 19.5
Control 1 60 19.75
Control 1 70 19.64
Control 1 80 20
Control 1 90 19.13
Control 1 100 20.15
Control 1 110 19.45
Control 1 120 19.43
Control 2 0 13.88
Control 2 10 13.6
Control 2 20 13.73
Control 2 30 13.16
Control 2 40 13.44
Control 2 50 13.62
Control 2 60 13.86
Control 2 70 13.58
Control 2 80 14.28
Control 2 90 14.1
Control 2 100 13.12
Control 2 110 13.53
Control 2 120 13.42
Control 3 0 11.92
Control 3 10 11.74
Control 3 20 11.84
Control 3 30 10.9
Control 3 40 11.75
Control 3 50 11.45
Control 3 60 11.98
Control 3 70 12.38
Control 3 80 11.7
Control 3 90 11.48
Control 3 100 11.8
Control 3 110 11.2
Control 3 120 12.03
Control 4 0 26.38
Control 4 10 26.9
Control 4 20 27.73
Control 4 30 27.73
Control 4 40 27.56
Control 4 50 28.43
Control 4 60 27.54
Control 4 70 26.5
Control 4 80 27.94
Control 4 90 27.58
Control 4 100 27.56
Control 4 110 27.64
Control 4 120 28.83
Control 5 0 13.3
Control 5 10 13.18
Control 5 20 13.52
Control 5 30 13.43
Control 5 40 13.4
Control 5 50 13.25
Control 5 60 13.28
Control 5 70 13.24
Control 5 80 13.44
Control 5 90 12.98
Control 5 100 12.6
Control 5 110 13.48
Control 5 120 13.08
Control 6 0 13.8
Control 6 10 13.86
Control 6 20 13.06
Control 6 30 13.76
Control 6 40 13.82
Control 6 50 13.8
Control 6 60 13.86
Control 6 70 13.84
Control 6 80 13.76
Control 6 90 13.82
Control 6 100 13.5
Control 6 110 13.72
Control 6 120 13.7
